"date","team1","team2","map","event","matchid","teamid1","teamid2","eventid","score1","score2"
"28/11 15","fnatic (16)","Luminosity (7)","inferno","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26278","4991","6290","1615","16","7"
"28/11 15","fnatic (16)","Luminosity (11)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26277","4991","6290","1615","16","11"
"28/11 15","Luminosity (16)","fnatic (9)","train","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26276","6290","4991","1615","16","9"
"28/11 15","TSM (17)","Luminosity (21)","inferno","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26274","5996","6290","1615","17","21"
"28/11 15","TSM (6)","Luminosity (16)","overpass","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26273","5996","6290","1615","6","16"
"28/11 15","TSM (16)","Luminosity (5)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26272","5996","6290","1615","16","5"
"28/11 15","fnatic (16)","Virtus.pro (9)","cache","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26271","4991","5378","1615","16","9"
"28/11 15","Virtus.pro (10)","fnatic (16)","inferno","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26270","5378","4991","1615","10","16"
"28/11 15","fnatic (11)","Virtus.pro (16)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26269","4991","5378","1615","11","16"
"27/11 15","NiP (6)","Luminosity (16)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26268","4411","6290","1615","6","16"
"27/11 15","Luminosity (19)","NiP (21)","cache","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26266","6290","4411","1615","19","21"
"27/11 15","NiP (10)","Luminosity (16)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26265","4411","6290","1615","10","16"
"27/11 15","Virtus.pro (16)","Liquid (8)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26264","5378","5973","1615","16","8"
"27/11 15","Virtus.pro (16)","Liquid (6)","overpass","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26263","5378","5973","1615","16","6"
"27/11 15","EnVyUs (11)","Luminosity (16)","inferno","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26262","5991","6290","1615","11","16"
"27/11 15","Luminosity (8)","EnVyUs (16)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26261","6290","5991","1615","8","16"
"27/11 15","EnVyUs (6)","Luminosity (16)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26260","5991","6290","1615","6","16"
"27/11 15","Legacy (11)","Liquid (16)","cache","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26258","6468","5973","1615","11","16"
"27/11 15","Liquid (16)","Legacy (8)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26257","5973","6468","1615","16","8"
"26/11 15","NiP (4)","fnatic (16)","dust2","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26256","4411","4991","1615","4","16"
"26/11 15","fnatic (16)","Luminosity (0)","dust2","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26255","4991","6290","1615","16","0"
"26/11 15","NiP (16)","EnVyUs (8)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26254","4411","5991","1615","16","8"
"26/11 15","TSM (16)","Virtus.pro (13)","mirage","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26253","5996","5378","1615","16","13"
"26/11 15","Liquid (0)","TSM (16)","overpass","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26252","5973","5996","1615","0","16"
"26/11 15","Virtus.pro (16)","Legacy (12)","cbble","FACEIT League 2015 Stage 3 Finals at DH Winter 2015","26251","5378","6468","1615","16","12"
"23/11 15","Natus Vincere (16)","TSM (8)","cbble","IEM San Jose 2015","26247","4608","5996","1865","16","8"
"23/11 15","Natus Vincere (16)","TSM (10)","dust2","IEM San Jose 2015","26246","4608","5996","1865","16","10"
"22/11 15","Liquid (14)","Natus Vincere (16)","dust2","IEM San Jose 2015","26245","5973","4608","1865","14","16"
"22/11 15","Natus Vincere (16)","Liquid (7)","cbble","IEM San Jose 2015","26244","4608","5973","1865","16","7"
"22/11 15","E-frag.net (15)","BX3 (15)","inferno","Game Show Global eSports Cup","26250","6226","4606","2024","15","15"
"22/11 15","BX3 (5)","E-frag.net (16)","dust2","Game Show Global eSports Cup","26249","4606","6226","2024","5","16"
"22/11 15","BX3 (16)","E-frag.net (14)","cache","Game Show Global eSports Cup","26248","4606","6226","2024","16","14"
"22/11 15","WRTP (11)","gamENERGY (16)","inferno","D!ngIT $2000 Weekly Cup Qualifier","26243","6499","6500","2029","11","16"
"22/11 15","gamENERGY (16)","WRTP (3)","dust2","D!ngIT $2000 Weekly Cup Qualifier","26242","6500","6499","2029","16","3"
"22/11 15","WRTP (21)","gamENERGY (19)","mirage","D!ngIT $2000 Weekly Cup Qualifier","26240","6499","6500","2029","21","19"
"22/11 15","TSM (16)","G2 (6)","mirage","IEM San Jose 2015","26233","5996","5995","1865","16","6"
"22/11 15","TSM (16)","G2 (7)","overpass","IEM San Jose 2015","26216","5996","5995","1865","16","7"
"22/11 15","G2 (16)","TSM (5)","cache","IEM San Jose 2015","26215","5995","5996","1865","16","5"
"22/11 15","k1ck (13)","RCTIC (16)","cbble","AlienTech AllStars","26232","4469","4682","2023","13","16"
"22/11 15","k1ck (14)","RCTIC (16)","dust2","AlienTech AllStars","26231","4469","4682","2023","14","16"
"22/11 15","KILLERFISH (16)","CSGO.one (13)","dust2","Game Show Global eSports Cup","26239","5093","6460","2024","16","13"
"22/11 15","KILLERFISH (5)","CSGO.one (16)","cbble","Game Show Global eSports Cup","26238","5093","6460","2024","5","16"
"22/11 15","KILLERFISH (16)","CSGO.one (9)","overpass","Game Show Global eSports Cup","26237","5093","6460","2024","16","9"
"22/11 15","Publiclir.se (16)","OnlineBOTS (10)","inferno","AlienTech AllStars","26230","4477","5572","2023","16","10"
"22/11 15","Publiclir.se (16)","OnlineBOTS (14)","cache","AlienTech AllStars","26229","4477","5572","2023","16","14"
"22/11 15","clanHeat (7)","sensational.kr (16)","inferno","D!ngIT & NCSC Korea S1 Qualifier","26236","6484","6483","2022","7","16"
"22/11 15","USSR (8)","Vexed (16)","mirage","Color League by EIZO & QPAD","26222","5004","6375","2026","8","16"
"22/11 15","USSR (9)","Vexed (16)","cache","Color League by EIZO & QPAD","26221","5004","6375","2026","9","16"
"22/11 15","USSR (7)","Vexed (16)","overpass","Color League by EIZO & QPAD","26220","5004","6375","2026","7","16"
"22/11 15","Hot Shot (5)","etoile (16)","mirage","D!ngIT & NCSC Korea S1 Qualifier","26235","6481","6482","2022","5","16"
"22/11 15","Absolute Unit (16)","Pantoms (7)","cache","D!ngIT & NCSC Korea S1 Qualifier","26234","6479","6480","2022","16","7"
"22/11 15","OnlineBOTS (13)","k1ck (16)","inferno","AlienTech AllStars","26228","5572","4469","2023","13","16"
"22/11 15","k1ck (16)","OnlineBOTS (7)","dust2","AlienTech AllStars","26227","4469","5572","2023","16","7"
"22/11 15","Publiclir.se (16)","RCTIC (19)","cbble","AlienTech AllStars","26225","4477","4682","2023","16","19"
"22/11 15","RCTIC (12)","Publiclir.se (16)","train","AlienTech AllStars","26224","4682","4477","2023","12","16"
"22/11 15","Publiclir.se (8)","RCTIC (16)","mirage","AlienTech AllStars","26223","4477","4682","2023","8","16"
"22/11 15","Imperial Dragons (10)","Vexed (16)","cache","Color League by EIZO & QPAD","26219","6498","6375","2026","10","16"
"22/11 15","Vexed (16)","Imperial Dragons (8)","mirage","Color League by EIZO & QPAD","26218","6375","6498","2026","16","8"
"22/11 15","Vexed (8)","Imperial Dragons (16)","train","Color League by EIZO & QPAD","26217","6375","6498","2026","8","16"
"22/11 15","Virtus.pro (9)","Liquid (16)","mirage","IEM San Jose 2015","26214","5378","5973","1865","9","16"
"22/11 15","Virtus.pro (2)","Liquid (16)","overpass","IEM San Jose 2015","26213","5378","5973","1865","2","16"
"22/11 15","Natus Vincere (19)","Luminosity (17)","overpass","IEM San Jose 2015","26211","4608","6290","1865","19","17"
"22/11 15","Luminosity (13)","Natus Vincere (16)","mirage","IEM San Jose 2015","26210","6290","4608","1865","13","16"
"21/11 15","Cloud9 (5)","TSM (16)","dust2","IEM San Jose 2015","26209","5752","5996","1865","5","16"
"21/11 15","Cloud9 (16)","TSM (14)","cache","IEM San Jose 2015","26208","5752","5996","1865","16","14"
"21/11 15","Cloud9 (11)","TSM (16)","overpass","IEM San Jose 2015","26201","5752","5996","1865","11","16"
"21/11 15","BX3 (11)","Space Soldiers (16)","mirage","QuickShot Arena #15","26200","4606","5929","2021","11","16"
"21/11 15","Space Soldiers (16)","BX3 (4)","dust2","QuickShot Arena #15","26199","5929","4606","2021","16","4"
"21/11 15","CSGO.one (16)","Revolte (8)","overpass","Game Show Global eSports Cup","26198","6460","6495","2024","16","8"
"21/11 15","CSGO.one (16)","Revolte (6)","cbble","Game Show Global eSports Cup","26197","6460","6495","2024","16","6"
"21/11 15","Vexed (14)","USSR (16)","inferno","Color League by EIZO & QPAD","26207","6375","5004","2026","14","16"
"21/11 15","USSR (16)","Vexed (8)","dust2","Color League by EIZO & QPAD","26206","5004","6375","2026","16","8"
"21/11 15","USSR (22)","Vexed (25)","overpass","Color League by EIZO & QPAD","26202","5004","6375","2026","22","25"
"21/11 15","G2 (16)","CLG (7)","cache","IEM San Jose 2015","26191","5995","5974","1865","16","7"
"21/11 15","CLG (17)","G2 (19)","mirage","IEM San Jose 2015","26186","5974","5995","1865","17","19"
"21/11 15","BX3 (16)","eXplosive (14)","dust2","QuickShot Arena #15","26190","4606","6469","2021","16","14"
"21/11 15","BX3 (16)","eXplosive (9)","train","QuickShot Arena #15","26189","4606","6469","2021","16","9"
"21/11 15","eXplosive (16)","BX3 (8)","mirage","QuickShot Arena #15","26188","6469","4606","2021","16","8"
"21/11 15","AlienTech (7)","OnlineBOTS (16)","dust2","AlienTech AllStars","26185","5524","5572","2023","7","16"
"21/11 15","AlienTech (14)","OnlineBOTS (16)","cbble","AlienTech AllStars","26184","5524","5572","2023","14","16"
"21/11 15","Publiclir.se (16)","FTW (4)","cache","AlienTech AllStars","26183","4477","5272","2023","16","4"
"21/11 15","FTW (8)","Publiclir.se (16)","mirage","AlienTech AllStars","26182","5272","4477","2023","8","16"
"21/11 15","EZskins.com (16)","Infused (3)","overpass","Gfinity CS:GO UK Championship Finals","26196","6155","4554","2028","16","3"
"21/11 15","Infused (7)","EZskins.com (16)","inferno","Gfinity CS:GO UK Championship Finals","26195","4554","6155","2028","7","16"
"21/11 15","Infused (8)","EZskins.com (16)","mirage","Gfinity CS:GO UK Championship Finals","26194","4554","6155","2028","8","16"
"21/11 15","Infused (16)","EZskins.com (7)","cache","Gfinity CS:GO UK Championship Finals","26193","4554","6155","2028","16","7"
"21/11 15","Infused (16)","EZskins.com (14)","train","Gfinity CS:GO UK Championship Finals","26192","4554","6155","2028","16","14"
"21/11 15","KILLERFISH (13)","DenDD (16)","train","Game Show Global eSports Cup","26181","5093","6407","2024","13","16"
"21/11 15","KILLERFISH (16)","DenDD (11)","cache","Game Show Global eSports Cup","26180","5093","6407","2024","16","11"
"21/11 15","DenDD (16)","KILLERFISH (7)","cbble","Game Show Global eSports Cup","26179","6407","5093","2024","16","7"
"21/11 15","LowLandLions (1)","Space Soldiers (16)","train","QuickShot Arena #15","26178","4579","5929","2021","1","16"
"21/11 15","LowLandLions (12)","Space Soldiers (16)","cbble","QuickShot Arena #15","26177","4579","5929","2021","12","16"
"21/11 15","ALSEN (10)","Imperial Dragons (16)","mirage","Color League by EIZO & QPAD","26165","4534","6498","2026","10","16"
"21/11 15","ALSEN (16)","Imperial Dragons (11)","train","Color League by EIZO & QPAD","26164","4534","6498","2026","16","11"
"21/11 15","Imperial Dragons (16)","ALSEN (10)","inferno","Color League by EIZO & QPAD","26163","6498","4534","2026","16","10"
"21/11 15","RCTIC (16)","Keyd Stars (5)","train","AlienTech AllStars","26176","4682","6033","2023","16","5"
"21/11 15","RCTIC (8)","Keyd Stars (16)","overpass","AlienTech AllStars","26175","4682","6033","2023","8","16"
"21/11 15","Keyd Stars (13)","RCTIC (16)","mirage","AlienTech AllStars","26174","6033","4682","2023","13","16"
"21/11 15","k1ck (16)","Epsilon (10)","dust2","AlienTech AllStars","26173","4469","6124","2023","16","10"
"21/11 15","k1ck (16)","Epsilon (3)","overpass","AlienTech AllStars","26172","4469","6124","2023","16","3"
"21/11 15","Vexed (16)","Imperial Dragons (7)","dust2","Color League by EIZO & QPAD","26162","6375","6498","2026","16","7"
"21/11 15","Vexed (19)","Imperial Dragons (15)","mirage","Color League by EIZO & QPAD","26160","6375","6498","2026","19","15"
"21/11 15","GameplayDNA (3)","AlienTech (16)","inferno","AlienTech AllStars","26171","6322","5524","2023","3","16"
"21/11 15","FTW (16)","Galatics (7)","mirage","AlienTech AllStars","26170","5272","6491","2023","16","7"
"21/11 15","FTW (8)","AlienTech (16)","inferno","AlienTech AllStars","26169","5272","5524","2023","8","16"
"21/11 15","GameplayDNA (16)","Galatics (2)","inferno","AlienTech AllStars","26168","6322","6491","2023","16","2"
"21/11 15","AlienTech (16)","Galatics (4)","inferno","AlienTech AllStars","26167","5524","6491","2023","16","4"
"21/11 15","GameplayDNA (10)","FTW (16)","mirage","AlienTech AllStars","26166","6322","5272","2023","10","16"
"21/11 15","TyLoo (16)","TheMongolz (8)","inferno","D!ngIT CS:GO Asia Invitational","26156","4863","6248","1995","16","8"
"21/11 15","TyLoo (16)","TheMongolz (5)","cache","D!ngIT CS:GO Asia Invitational","26155","4863","6248","1995","16","5"
"21/11 15","ALSEN (5)","USSR (16)","mirage","Color League by EIZO & QPAD","26159","4534","5004","2026","5","16"
"21/11 15","ALSEN (13)","USSR (16)","cache","Color League by EIZO & QPAD","26158","4534","5004","2026","13","16"
"21/11 15","USSR (14)","ALSEN (16)","dust2","Color League by EIZO & QPAD","26157","5004","4534","2026","14","16"
"20/11 15","RCTIC (9)","k1ck (16)","mirage","AlienTech AllStars","26138","4682","4469","2023","9","16"
"20/11 15","Equilibrium (16)","FTW.G2A (5)","inferno","AlienTech AllStars","26137","5619","6492","2023","16","5"
"20/11 15","Equilibrium (7)","k1ck (16)","cache","AlienTech AllStars","26135","5619","4469","2023","7","16"
"20/11 15","eSuba (6)","LowLandLions (16)","inferno","QuickShot Arena #15","26143","5412","4579","2021","6","16"
"20/11 15","RCTIC (16)","FTW.G2A (8)","dust2","AlienTech AllStars","26136","4682","6492","2023","16","8"
"20/11 15","KoN Sweden (16)","KoN Denmark (12)","inferno","King of Nordic Season 2","26154","6418","6417","1973","16","12"
"20/11 15","DenDD (16)","Revolte (13)","overpass","Game Show Global eSports Cup","26151","6407","6495","2024","16","13"
"20/11 15","DenDD (14)","Revolte (16)","mirage","Game Show Global eSports Cup","26150","6407","6495","2024","14","16"
"20/11 15","Revolte (6)","DenDD (16)","cbble","Game Show Global eSports Cup","26149","6495","6407","2024","6","16"
"20/11 15","LowLandLions (11)","eXplosive (16)","dust2","QuickShot Arena #15","26142","4579","6469","2021","11","16"
"20/11 15","KoN Denmark (16)","KoN Norway (14)","mirage","King of Nordic Season 2","26153","6417","6419","1973","16","14"
"20/11 15","k1ck (16)","FTW.G2A (8)","dust2","AlienTech AllStars","26134","4469","6492","2023","16","8"
"20/11 15","RCTIC (16)","Equilibrium (1)","dust2","AlienTech AllStars","26133","4682","5619","2023","16","1"
"20/11 15","eSuba (16)","Refuse (5)","mirage","QuickShot Arena #15","26141","5412","6447","2021","16","5"
"20/11 15","KoN Norway (16)","KoN Finland (12)","mirage","King of Nordic Season 2","26152","6419","6420","1973","16","12"
"20/11 15","Publiclir.se (16)","OnlineBOTS (10)","cache","AlienTech AllStars","26132","4477","5572","2023","16","10"
"20/11 15","LowLandLions (16)","eSuba (12)","mirage","QuickShot Arena #15","26140","4579","5412","2021","16","12"
"20/11 15","FTW.Aca Prinfor (15)","LE CARTEL (15)","mirage","AlienTech AllStars","26131","6411","6493","2023","15","15"
"20/11 15","KILLERFISH (16)","CSGO.one (8)","cbble","Game Show Global eSports Cup","26145","5093","6460","2024","16","8"
"20/11 15","KILLERFISH (16)","CSGO.one (11)","train","Game Show Global eSports Cup","26144","5093","6460","2024","16","11"
"20/11 15","Refuse (3)","eXplosive (16)","cache","QuickShot Arena #15","26139","6447","6469","2021","3","16"
"20/11 15","FTW.Aca Prinfor (0)","Publiclir.se (16)","cache","AlienTech AllStars","26130","6411","4477","2023","0","16"
"20/11 15","OnlineBOTS (16)","LE CARTEL (1)","cache","AlienTech AllStars","26129","5572","6493","2023","16","1"
"20/11 15","Publiclir.se (16)","LE CARTEL (4)","mirage","AlienTech AllStars","26128","4477","6493","2023","16","4"
"20/11 15","OnlineBOTS (16)","FTW.Aca Prinfor (5)","cache","AlienTech AllStars","25990","5572","6411","2023","16","5"
"20/11 15","Epsilon (12)","Keyd Stars (16)","train","AlienTech AllStars","25989","6124","6033","2023","12","16"
"20/11 15","uPGaming.hellfive (13)","IHAVEADREAM (16)","cache","AlienTech AllStars","25988","6412","6494","2023","13","16"
"20/11 15","Player 5 (16)","ClockTime (4)","cache","D!ngIT & NCSC Korea S1 Qualifier","25987","6477","6478","2022","16","4"
"20/11 15","MVP project  (11)","MVP.karnal (16)","dust2","D!ngIT CS:GO Asia Invitational","26127","6474","6109","1995","11","16"
"20/11 15","MVP.karnal (16)","MVP project  (14)","inferno","D!ngIT CS:GO Asia Invitational","26126","6109","6474","1995","16","14"
"20/11 15","Keyd Stars (16)","IHAVEADREAM (9)","cbble","AlienTech AllStars","25984","6033","6494","2023","16","9"
"20/11 15","uPGaming.hellfive (3)","Epsilon (16)","cache","AlienTech AllStars","25986","6412","6124","2023","3","16"
"20/11 15","Airless (19)","BLITZKRIEG (17)","cache","D!ngIT & NCSC Korea S1 Qualifier","25981","6475","6476","2022","19","17"
"20/11 15","Keyd Stars (16)","uPGaming.hellfive (1)","mirage","AlienTech AllStars","25983","6033","6412","2023","16","1"
"20/11 15","Epsilon (16)","IHAVEADREAM (3)","cache","AlienTech AllStars","25985","6124","6494","2023","16","3"
"20/11 15","3sUP (13)","Luminosity (16)","train","SL i-League StarSeries XIV","26115","6261","6290","1970","13","16"
"20/11 15","3sUP (3)","Luminosity (16)","cbble","SL i-League StarSeries XIV","26259","6261","6290","1970","3","16"
"20/11 15","3sUP (16)","Winterfox (7)","dust2","ESL ESEA Pro League Season 2","26125","6261","6386","1934","16","7"
"20/11 15","Liquid (16)","Enemy (5)","dust2","ESL ESEA Pro League Season 2","26124","5973","6191","1934","16","5"
"20/11 15","Cloud9 (16)","Method (10)","cbble","ESL ESEA Pro League Season 2","26123","5752","6132","1934","16","10"
"20/11 15","Conquest (16)","CLG (13)","inferno","ESL ESEA Pro League Season 2","26122","6292","5974","1934","16","13"
"20/11 15","3sUP (11)","Conquest (16)","mirage","ESL ESEA Pro League Season 2","26121","6261","6292","1934","11","16"
"20/11 15","compLexity (20)","Liquid (22)","cache","ESL ESEA Pro League Season 2","26118","5005","5973","1934","20","22"
"20/11 15","Luminosity (16)","Cloud9 (4)","inferno","ESL ESEA Pro League Season 2","26117","6290","5752","1934","16","4"
"20/11 15","CLG (16)","Winterfox (13)","cbble","ESL ESEA Pro League Season 2","26116","5974","6386","1934","16","13"
"19/11 15","BX3 (16)","Playing Ducks (14)","cache","QuickShot Arena #15","26104","4606","5009","2021","16","14"
"19/11 15","HellRaisers (16)","SK (9)","cbble","Acer Predator Masters powered by Intel Season 2","26114","5310","6137","1959","16","9"
"19/11 15","HellRaisers (16)","SK (7)","overpass","Acer Predator Masters powered by Intel Season 2","26113","5310","6137","1959","16","7"
"19/11 15","Space Soldiers (22)","BX3 (20)","mirage","QuickShot Arena #15","26101","5929","4606","2021","22","20"
"19/11 15","E-frag.net (9)","FlipSid3 (16)","overpass","GameAgents League Season 2","26112","6226","5988","1881","9","16"
"19/11 15","FlipSid3 (16)","E-frag.net (11)","cache","GameAgents League Season 2","26111","5988","6226","1881","16","11"
"19/11 15","FlipSid3 (16)","E-frag.net (4)","train","GameAgents League Season 2","26110","5988","6226","1881","16","4"
"19/11 15","Playing Ducks (16)","myXMG (14)","cache","QuickShot Arena #15","26100","5009","5758","2021","16","14"
"19/11 15","CSGO.one (11)","KILLERFISH (16)","dust2","CSHUB Series Season 1","26109","6460","5093","1952","11","16"
"19/11 15","KILLERFISH (11)","CSGO.one (16)","train","CSHUB Series Season 1","26108","5093","6460","1952","11","16"
"19/11 15","KILLERFISH (19)","CSGO.one (16)","cbble","CSHUB Series Season 1","26106","5093","6460","1952","19","16"
"19/11 15","KILLERFISH (16)","CSGO.one (9)","overpass","CSHUB Series Season 1","26105","5093","6460","1952","16","9"
"19/11 15","Vega Squadron (9)","PiTER (16)","cache","CIS LAN Championship #2","25961","6094","5949","2014","9","16"
"19/11 15","PiTER (16)","Vega Squadron (7)","overpass","CIS LAN Championship #2","25960","5949","6094","2014","16","7"
"19/11 15","PiTER (16)","Vega Squadron (8)","mirage","CIS LAN Championship #2","25959","5949","6094","2014","16","8"
"19/11 15","BX3 (16)","Playing Ducks (1)","dust2","QuickShot Arena #15","26099","4606","5009","2021","16","1"
"19/11 15","Space Soldiers (16)","myXMG (7)","dust2","QuickShot Arena #15","26098","5929","5758","2021","16","7"
"19/11 15","Enso (15)","PiTER (19)","dust2","CIS LAN Championship #2","25957","6213","5949","2014","15","19"
"19/11 15","PiTER (16)","Enso (8)","mirage","CIS LAN Championship #2","25956","5949","6213","2014","16","8"
"19/11 15","Renegades (12)","Cloud9 (16)","cache","RGN Pro Series Championship","25980","6211","5752","1968","12","16"
"19/11 15","PiTER (13)","Vega Squadron (16)","dust2","CIS LAN Championship #2","25955","5949","6094","2014","13","16"
"19/11 15","PiTER (16)","Vega Squadron (19)","mirage","CIS LAN Championship #2","25953","5949","6094","2014","16","19"
"19/11 15","Liquid (14)","Renegades (16)","dust2","RGN Pro Series Championship","25979","5973","6211","1968","14","16"
"19/11 15","Liquid (13)","Renegades (16)","cache","RGN Pro Series Championship","25978","5973","6211","1968","13","16"
"19/11 15","Luminosity (12)","Renegades (16)","dust2","RGN Pro Series Championship","25977","6290","6211","1968","12","16"
"19/11 15","Renegades (16)","Luminosity (12)","train","RGN Pro Series Championship","25976","6211","6290","1968","16","12"
"19/11 15","Luminosity (16)","Games Academy (13)","cache","RGN Pro Series Championship","25975","6290","6334","1968","16","13"
"19/11 15","Luminosity (16)","Games Academy (7)","train","RGN Pro Series Championship","25974","6290","6334","1968","16","7"
"19/11 15","Luminosity (13)","Games Academy (16)","dust2","RGN Pro Series Championship","25973","6290","6334","1968","13","16"
"19/11 15","Liquid (7)","Cloud9 (16)","inferno","RGN Pro Series Championship","25972","5973","5752","1968","7","16"
"19/11 15","Cloud9 (16)","Liquid (11)","cbble","RGN Pro Series Championship","25971","5752","5973","1968","16","11"
"19/11 15","Cloud9 (12)","Liquid (16)","overpass","RGN Pro Series Championship","25970","5752","5973","1968","12","16"
"19/11 15","Renegades (16)","Enemy (12)","train","RGN Pro Series Championship","25969","6211","6191","1968","16","12"
"19/11 15","Enemy (10)","Renegades (16)","cbble","RGN Pro Series Championship","25968","6191","6211","1968","10","16"
"18/11 15","Enso (16)","PARTY (8)","inferno","CIS LAN Championship #2","25952","6213","6470","2014","16","8"
"18/11 15","PARTY (16)","Enso (1)","mirage","CIS LAN Championship #2","25951","6470","6213","2014","16","1"
"18/11 15","Enso (16)","PARTY (7)","cbble","CIS LAN Championship #2","25950","6213","6470","2014","16","7"
"18/11 15","Liquid (16)","Luminosity (11)","dust2","RGN Pro Series Championship","25967","5973","6290","1968","16","11"
"18/11 15","Liquid (17)","Luminosity (19)","overpass","RGN Pro Series Championship","25965","5973","6290","1968","17","19"
"18/11 15","Liquid (22)","Luminosity (19)","inferno","RGN Pro Series Championship","25962","5973","6290","1968","22","19"
"18/11 15","Cloud9 (16)","Renegades (6)","cbble","RGN Pro Series Championship","25947","5752","6211","1968","16","6"
"18/11 15","Cloud9 (16)","Renegades (19)","cache","RGN Pro Series Championship","25945","5752","6211","1968","16","19"
"18/11 15","Cloud9 (16)","Renegades (11)","inferno","RGN Pro Series Championship","25944","5752","6211","1968","16","11"
"18/11 15","PENTA (16)","London C (9)","mirage","Acer Predator Masters powered by Intel Season 2","26097","5395","5569","1959","16","9"
"18/11 15","PENTA (16)","London C (5)","dust2","Acer Predator Masters powered by Intel Season 2","26096","5395","5569","1959","16","5"
"18/11 15","Planetkey (8)","EURONICS (16)","cbble","99Damage League Season 2","26095","5195","6343","2020","8","16"
"18/11 15","Planetkey (16)","EURONICS (8)","dust2","99Damage League Season 2","26094","5195","6343","2020","16","8"
"18/11 15","PARTY (19)","YP (16)","cache","CIS LAN Championship #2","25940","6470","6471","2014","19","16"
"18/11 15","PARTY (16)","YP (6)","dust2","CIS LAN Championship #2","25939","6470","6471","2014","16","6"
"18/11 15","FlipSid3 (6)","Virtus.pro (16)","train","Global Offensive Champions League Season 2","26093","5988","5378","1942","6","16"
"18/11 15","Virtus.pro (16)","FlipSid3 (14)","mirage","Global Offensive Champions League Season 2","26092","5378","5988","1942","16","14"
"18/11 15","Method (3)","Enemy (16)","overpass","RGN Pro Series Championship","25949","6132","6191","1968","3","16"
"18/11 15","Enemy (16)","Method (12)","cache","RGN Pro Series Championship","25948","6191","6132","1968","16","12"
"18/11 15","Games Academy (16)","Winterfox (4)","cbble","RGN Pro Series Championship","25943","6334","6386","1968","16","4"
"18/11 15","Winterfox (5)","Games Academy (16)","mirage","RGN Pro Series Championship","25942","6386","6334","1968","5","16"
"18/11 15","London C (9)","E-frag.net (16)","cache","Acer Predator Masters powered by Intel Season 2","26091","5569","6226","1959","9","16"
"18/11 15","E-frag.net (16)","London C (14)","dust2","Acer Predator Masters powered by Intel Season 2","26090","6226","5569","1959","16","14"
"18/11 15","TSM (14)","fnatic (16)","inferno","SL i-League StarSeries XIV","26074","5996","4991","1970","14","16"
"18/11 15","fnatic (16)","TSM (11)","dust2","SL i-League StarSeries XIV","26073","4991","5996","1970","16","11"
"18/11 15","Rebels (20)","Enso (22)","overpass","CIS LAN Championship #2","25936","6472","6213","2014","20","22"
"18/11 15","Enso (16)","Rebels (13)","dust2","CIS LAN Championship #2","25935","6213","6472","2014","16","13"
"18/11 15","MiTH (9)","Emc (16)","overpass","MixBOT Pro-League Invite Season 2","26089","6353","6422","1979","9","16"
"18/11 15","PiTER (16)","Rebels (11)","mirage","CIS LAN Championship #2","25934","5949","6472","2014","16","11"
"18/11 15","PiTER (16)","Rebels (10)","overpass","CIS LAN Championship #2","25933","5949","6472","2014","16","10"
"18/11 15","Vega Squadron (16)","YP (3)","cache","CIS LAN Championship #2","25932","6094","6471","2014","16","3"
"18/11 15","YP (17)","Vega Squadron (19)","inferno","CIS LAN Championship #2","25930","6471","6094","2014","17","19"
"18/11 15","Method (9)","Liquid (16)","inferno","RGN Pro Series Championship","25926","6132","5973","1968","9","16"
"18/11 15","Liquid (16)","Method (3)","cache","RGN Pro Series Championship","25925","5973","6132","1968","16","3"
"18/11 15","Enemy (3)","Luminosity (16)","train","RGN Pro Series Championship","25929","6191","6290","1968","3","16"
"18/11 15","Enemy (17)","Luminosity (19)","mirage","RGN Pro Series Championship","25927","6191","6290","1968","17","19"
"18/11 15","Cloud9 (16)","Games Academy (14)","cache","RGN Pro Series Championship","25924","5752","6334","1968","16","14"
"18/11 15","Cloud9 (19)","Games Academy (15)","cbble","RGN Pro Series Championship","25922","5752","6334","1968","19","15"
"18/11 15","Cloud9 (14)","Games Academy (16)","dust2","RGN Pro Series Championship","25921","5752","6334","1968","14","16"
