"date","team1","team2","map","event","matchid","teamid1","teamid2","eventid","score1","score2"
"26/1 14","TheHEIST (10)","Evokate (16)","mirage","EMS One Katowice French Qualifier Cup #2","16247","5327","4675","1297","10","16"
"26/1 14","Evokate (7)","TheHEIST (16)","inferno","EMS One Katowice French Qualifier Cup #2","16246","4675","5327","1297","7","16"
"26/1 14","Evokate (16)","TheHEIST (5)","dust2","EMS One Katowice French Qualifier Cup #2","16245","4675","5327","1297","16","5"
"26/1 14","Pulse (12)","Mistral (16)","dust2","EMS One Katowice French Qualifier Cup #2","16244","5330","4515","1297","12","16"
"26/1 14","Mistral (16)","Pulse (2)","inferno","EMS One Katowice French Qualifier Cup #2","16243","4515","5330","1297","16","2"
"25/1 14","Engine (6)","Worth.It (16)","mirage","EMS One Katowice French Qualifier Cup #2","16242","5196","5328","1297","6","16"
"25/1 14","Engine (16)","Worth.It (6)","nuke","EMS One Katowice French Qualifier Cup #2","16241","5196","5328","1297","16","6"
"25/1 14","Engine (11)","Worth.It (16)","dust2","EMS One Katowice French Qualifier Cup #2","16240","5196","5328","1297","11","16"
"25/1 14","momo momo (8)","ENCE (16)","nuke","EMS One Katowice Nordic Qualifier Cup #2","16239","5126","4869","1296","8","16"
"25/1 14","ENCE (12)","momo momo (16)","dust2","EMS One Katowice Nordic Qualifier Cup #2","16238","4869","5126","1296","12","16"
"25/1 14","ENCE (16)","momo momo (8)","inferno","EMS One Katowice Nordic Qualifier Cup #2","16237","4869","5126","1296","16","8"
"25/1 14","jQntefabrikkeN (10)","Property (16)","mirage","EMS One Katowice Nordic Qualifier Cup #2","16236","5323","5319","1296","10","16"
"25/1 14","Property (16)","jQntefabrikkeN (11)","inferno","EMS One Katowice Nordic Qualifier Cup #2","16235","5319","5323","1296","16","11"
"25/1 14","Property (20)","jQntefabrikkeN (26)","train","EMS One Katowice Nordic Qualifier Cup #2","16232","5319","5323","1296","20","26"
"19/1 14","iBUYPOWER (16)","Titan (14)","inferno","ESEA Invite Season 15 Global Finals","16231","5231","5284","1287","16","14"
"19/1 14","iBUYPOWER (16)","Titan (11)","nuke","ESEA Invite Season 15 Global Finals","16230","5231","5284","1287","16","11"
"19/1 14","Titan (19)","iBUYPOWER (15)","cache","ESEA Invite Season 15 Global Finals","16228","5284","5231","1287","19","15"
"19/1 14","iBUYPOWER (16)","Titan (14)","dust2","ESEA Invite Season 15 Global Finals","16227","5231","5284","1287","16","14"
"19/1 14","iBUYPOWER (16)","Titan (9)","season","ESEA Invite Season 15 Global Finals","16226","5231","5284","1287","16","9"
"19/1 14","compLexity (12)","iBUYPOWER (16)","nuke","ESEA Invite Season 15 Global Finals","16840","5005","5231","1287","12","16"
"19/1 14","iBUYPOWER (14)","compLexity (16)","train_ve","ESEA Invite Season 15 Global Finals","16224","5231","5005","1287","14","16"
"19/1 14","compLexity (13)","iBUYPOWER (16)","cache","ESEA Invite Season 15 Global Finals","16223","5005","5231","1287","13","16"
"19/1 14","compLexity (14)","Titan (16)","nuke","ESEA Invite Season 15 Global Finals","16222","5005","5284","1287","14","16"
"19/1 14","compLexity (16)","Titan (3)","inferno","ESEA Invite Season 15 Global Finals","16221","5005","5284","1287","16","3"
"19/1 14","compLexity (14)","Titan (16)","dust2","ESEA Invite Season 15 Global Finals","16220","5005","5284","1287","14","16"
"19/1 14","iBUYPOWER (16)","United5 (5)","dust2","ESEA Invite Season 15 Global Finals","16219","5231","5190","1287","16","5"
"19/1 14","United5 (14)","iBUYPOWER (16)","cache","ESEA Invite Season 15 Global Finals","16218","5190","5231","1287","14","16"
"18/1 14","mouseSpaz (6)","iBUYPOWER (16)","nuke","ESEA Invite Season 15 Global Finals","16214","4645","5231","1287","6","16"
"18/1 14","mouseSpaz (5)","iBUYPOWER (16)","dust2","ESEA Invite Season 15 Global Finals","16213","4645","5231","1287","5","16"
"18/1 14","Homeless (11)","United5 (16)","inferno","ESEA Invite Season 15 Global Finals","16217","5091","5190","1287","11","16"
"18/1 14","United5 (16)","Homeless (13)","mirage_ce","ESEA Invite Season 15 Global Finals","16216","5190","5091","1287","16","13"
"18/1 14","Homeless (16)","United5 (12)","dust2","ESEA Invite Season 15 Global Finals","16215","5091","5190","1287","16","12"
"18/1 14","iBUYPOWER (5)","Titan (16)","nuke","ESEA Invite Season 15 Global Finals","16212","5231","5284","1287","5","16"
"18/1 14","Titan (16)","iBUYPOWER (2)","dust2","ESEA Invite Season 15 Global Finals","16211","5284","5231","1287","16","2"
"18/1 14","iBUYPOWER (16)","Titan (13)","season","ESEA Invite Season 15 Global Finals","16210","5231","5284","1287","16","13"
"18/1 14","compLexity (19)","Homeless (16)","cache","ESEA Invite Season 15 Global Finals","16208","5005","5091","1287","19","16"
"18/1 14","Homeless (7)","compLexity (16)","inferno","ESEA Invite Season 15 Global Finals","16207","5091","5005","1287","7","16"
"18/1 14","United5 (9)","iBUYPOWER (16)","inferno","ESEA Invite Season 15 Global Finals","16203","5190","5231","1287","9","16"
"18/1 14","iBUYPOWER (16)","United5 (10)","cache","ESEA Invite Season 15 Global Finals","16202","5231","5190","1287","16","10"
"18/1 14","mouseSpaz (7)","Homeless (16)","cache","ESEA Invite Season 15 Global Finals","16206","4645","5091","1287","7","16"
"18/1 14","mouseSpaz (16)","Homeless (5)","dust2","ESEA Invite Season 15 Global Finals","16205","4645","5091","1287","16","5"
"18/1 14","mouseSpaz (11)","Homeless (16)","mirage_ce","ESEA Invite Season 15 Global Finals","16204","4645","5091","1287","11","16"
"18/1 14","ESEA All-Stars #1 (3)","ESEA All-Stars #2 (16)","dust2","Showmatch CS:GO","16198","5285","5286","1040","3","16"
"22/12 13","Natus Vincere (8)","AGAiN (16)","nuke","SLTV StarSeries VIII Finals","16197","4608","5274","1279","8","16"
"22/12 13","AGAiN (14)","Natus Vincere (16)","mirage","SLTV StarSeries VIII Finals","16196","5274","4608","1279","14","16"
"22/12 13","Natus Vincere (14)","AGAiN (16)","train","SLTV StarSeries VIII Finals","16195","4608","5274","1279","14","16"
"22/12 13","Natus Vincere (16)","GamePub (14)","inferno","SLTV StarSeries VIII Finals","16194","4608","5273","1279","16","14"
"22/12 13","Natus Vincere (16)","GamePub (10)","mirage","SLTV StarSeries VIII Finals","16193","4608","5273","1279","16","10"
"21/12 13","GamePub (12)","AGAiN (16)","train","SLTV StarSeries VIII Finals","16192","5273","5274","1279","12","16"
"21/12 13","AGAiN (21)","GamePub (18)","inferno","SLTV StarSeries VIII Finals","16190","5274","5273","1279","21","18"
"21/12 13","Natus Vincere (16)","Astana Dragons (11)","inferno","SLTV StarSeries VIII Finals","16189","4608","4984","1279","16","11"
"21/12 13","Natus Vincere (16)","Astana Dragons (13)","dust2","SLTV StarSeries VIII Finals","16188","4608","4984","1279","16","13"
"21/12 13","Astana Dragons (21)","Natus Vincere (17)","nuke","SLTV StarSeries VIII Finals","16186","4984","4608","1279","21","17"
"20/12 13","Natus Vincere (9)","AGAiN (16)","inferno","SLTV StarSeries VIII Finals","16185","4608","5274","1279","9","16"
"20/12 13","Natus Vincere (16)","AGAiN (7)","dust2","SLTV StarSeries VIII Finals","16184","4608","5274","1279","16","7"
"20/12 13","Natus Vincere (4)","AGAiN (16)","cache","SLTV StarSeries VIII Finals","16183","4608","5274","1279","4","16"
"20/12 13","Astana Dragons (11)","GamePub (16)","mirage","SLTV StarSeries VIII Finals","16182","4984","5273","1279","11","16"
"20/12 13","GamePub (16)","Astana Dragons (6)","nuke","SLTV StarSeries VIII Finals","16181","5273","4984","1279","16","6"
"19/12 13","fnatic (24)","LGB (26)","cache","FACEIT December Championship 2013","16178","4991","5028","1280","24","26"
